user_id,n_events,n_unique_businesses,start_time,end_time
-0MIp6WKJ8QvGnYZQ5ETyg,19,19,2018-06-11 22:57:47+00:00,2021-11-27 23:13:27+00:00
-1VbC_BSr9ai4drsuCCJxA,7,4,2012-03-01 20:19:13+00:00,2012-03-19 22:20:11+00:00
-6DoXmdXEy_P5N-QZzntgA,12,11,2012-07-24 18:18:37+00:00,2015-10-06 18:33:48+00:00
-6cPEM5jtb6A2M6mggn47g,10,9,2021-07-17 03:09:09+00:00,2021-11-15 15:56:17+00:00
-8lbUNlXVSoXqaRRiHiSNg,9,9,2009-05-21 19:38:29+00:00,2017-01-22 00:11:20+00:00
-DLVCiMg_uM0ihm8PcHWcw,7,7,2021-05-19 02:38:38+00:00,2021-05-21 11:14:57+00:00
-EYAh6B8abzsq8ld_XGoRw,12,12,2015-08-08 23:54:09+00:00,2019-03-01 21:21:33+00:00
-Hm4V0KMXftGms0O-uHZiw,5,5,2016-05-28 21:38:16+00:00,2017-09-02 00:15:47+00:00
-MiV-B9p4rO652My4HjYlA,5,5,2017-06-04 03:32:01+00:00,2018-04-29 18:35:51+00:00
-PR-NbnExaqupp8rJRHB8g,5,5,2017-12-08 18:03:21+00:00,2017-12-08 18:18:29+00:00
-Q-PQD7nZ1dhADQTYwlsOA,14,13,2017-12-08 03:33:53+00:00,2021-12-29 16:16:23+00:00
-QmEKJ_CzZnT9biZHddfZQ,106,90,2015-01-09 08:21:12+00:00,2019-03-23 00:09:24+00:00
-TQmf01XtBe5jOkHb84WPA,10,10,2021-04-11 02:03:17+00:00,2021-07-26 18:22:18+00:00
-YXBkT3IAz1tUNKLtmvx0A,9,9,2012-08-20 20:26:05+00:00,2019-01-03 18:20:54+00:00
-ZQK7CcOHeMwsoG7qKBGkA,8,7,2012-03-10 05:15:44+00:00,2019-05-27 00:12:16+00:00
-_yn1IOKetBJuPxfK6u8IA,56,55,2017-09-28 03:32:58+00:00,2021-10-10 15:46:26+00:00
-a3lBj2ulBxrIwZf4zdMTA,5,5,2014-05-21 15:38:02+00:00,2015-02-17 17:54:00+00:00
-j1-ixhH0IhAlBXwdjpBug,6,6,2014-01-08 02:26:30+00:00,2021-10-16 02:08:11+00:00
-l0-k3ezghmIHCtCnrTdLA,21,19,2015-07-12 16:00:22+00:00,2021-04-12 20:08:27+00:00
-l1bn8D8iZ0n9Q0PgIDGBA,15,11,2012-08-07 04:13:20+00:00,2020-11-19 18:58:10+00:00
-mU1Bd61e_LQ38IKgd3i5Q,10,7,2018-12-14 19:30:45+00:00,2020-08-26 17:19:53+00:00
-pUJtDKDeYYBa7ZoyJFBMw,33,33,2015-01-30 20:20:46+00:00,2019-04-17 15:42:43+00:00
-psFb4sFsOm0oRLY2Kye0A,28,26,2014-08-03 02:56:20+00:00,2019-02-09 10:52:01+00:00
-vZrPZX54a1m-hqAKMTTWg,5,5,2010-07-10 00:08:34+00:00,2014-08-25 16:37:29+00:00
-yQw7ugqK6j81yQSpI0BJQ,5,5,2014-03-07 04:23:23+00:00,2016-01-25 19:56:35+00:00
0-VeqEryJUgtML9lSqvKMQ,6,5,2012-05-22 00:20:43+00:00,2019-02-02 21:35:27+00:00
01uDjmkqP32bTkCHuWIKBA,7,7,2016-10-26 01:11:03+00:00,2017-03-18 01:04:09+00:00
02hZ8ZzZ1wJHFE1_fPuOwA,8,8,2015-05-13 23:57:16+00:00,2019-05-30 00:39:54+00:00
07ZgihuH-9Ih5dyI9hxRvw,6,5,2015-12-26 22:51:52+00:00,2015-12-31 23:52:06+00:00
0JpB9eEFeKER7UfY8dhxQA,5,5,2017-06-27 01:41:45+00:00,2017-06-27 04:40:43+00:00
0NRrwhCDOv3jK2ZcKBnpQg,6,6,2021-05-01 00:49:26+00:00,2021-05-14 04:03:43+00:00
0P3MgBcGzj-LtQA3lQXghw,5,5,2019-08-16 02:01:35+00:00,2021-09-18 23:48:52+00:00
0QzRChUjM48JQarMb9t7ig,9,8,2015-10-06 04:30:33+00:00,2015-10-06 06:19:21+00:00
0SW6-0e8NXaLPyMiUMWlgw,15,14,2017-06-01 19:33:23+00:00,2021-10-29 19:56:30+00:00
0Tcj5uCoc6y1xRIw2sIUnQ,5,5,2014-01-05 17:27:43+00:00,2021-09-19 02:08:26+00:00
0W86OPpGSTzjo6nUuUNWQQ,12,10,2015-05-27 12:47:00+00:00,2018-06-30 17:03:48+00:00
0eAE3nci8RZRAjgg5mIEUQ,6,6,2017-12-28 17:40:11+00:00,2020-07-02 19:16:38+00:00
0fW-YQvz2iC113CRl9xOrQ,12,12,2012-06-24 20:46:41+00:00,2014-09-03 02:16:50+00:00
0juMoWXC7z4c7LgQP2s3sA,58,44,2011-03-19 14:23:39+00:00,2014-12-09 18:57:36+00:00
0lMv7mbe73ZqF3OvjrZkyQ,7,7,2012-02-16 04:12:20+00:00,2019-11-20 23:03:52+00:00
0oBj63QKATcyxa6PLAVgoA,6,5,2020-05-11 20:10:21+00:00,2020-10-16 21:41:21+00:00
0oCP58mpEC2myGlDaRqqIw,5,5,2018-08-05 17:49:17+00:00,2019-03-17 23:15:43+00:00
0rHReikDIqL2jZsQJTR5LA,5,5,2018-05-11 00:10:37+00:00,2020-11-10 13:30:33+00:00
1-oaItKi4vz-z2dF7S2oNw,9,8,2015-07-25 00:40:05+00:00,2017-01-16 22:51:14+00:00
10FMZoatpQvFO4_jXgVcdQ,15,15,2012-07-13 18:49:34+00:00,2021-04-28 21:01:05+00:00
10Gvgz8QBwZmZigxPv6szw,9,8,2015-06-03 23:19:07+00:00,2019-10-22 20:04:00+00:00
12icG6GeSG6qWnHspF0tHQ,57,50,2015-08-09 20:55:40+00:00,2021-02-15 16:31:17+00:00
13PmeqpB9nUZNBYngvMj2g,7,7,2016-09-07 21:34:22+00:00,2017-05-21 13:55:02+00:00
15G6wy_y65sIwQkB1vwvXA,6,6,2018-12-29 19:24:58+00:00,2020-08-20 18:16:26+00:00
167omeb1w3nnsgG_XsNJYA,7,6,2019-07-08 18:57:00+00:00,2019-07-25 18:37:48+00:00
16c91F4TZSA_WjO4XmsBMg,36,33,2019-02-08 01:49:45+00:00,2020-03-15 05:32:20+00:00
1OsvnngVv7faatPCykZcjA,7,7,2016-07-02 13:15:26+00:00,2020-11-28 22:17:27+00:00
1PDpJNO1t-BsPZWM6zperQ,5,5,2017-06-20 12:49:39+00:00,2019-12-07 00:11:51+00:00
1PEpIGgb2dJO120MEfPbIg,18,16,2014-10-18 20:36:57+00:00,2019-07-26 00:48:49+00:00
1Xx0GXRCFEPMc8GWVR-WRA,6,6,2014-08-03 18:54:19+00:00,2018-08-18 05:41:49+00:00
1ZLJs1J-eYuSL9V9cjClNA,6,6,2013-11-30 18:02:59+00:00,2013-11-30 21:45:37+00:00
1_ereNz73hcAbYill07O4g,5,5,2012-07-10 01:27:18+00:00,2021-05-04 21:42:18+00:00
1deDzlWUCW8JUhODGBbB5w,18,16,2019-07-12 21:29:56+00:00,2021-05-15 04:42:45+00:00
1ip4bTJgXwbNBSVsyS3E8A,5,5,2018-08-06 14:21:10+00:00,2020-10-27 00:00:11+00:00
1kCh5bef88kJuEROh_x0qg,7,7,2016-08-21 21:50:38+00:00,2016-10-15 18:44:18+00:00
1oyOCpBY-oFIfc_HQFSMvQ,5,5,2014-05-24 16:59:36+00:00,2021-03-22 17:49:41+00:00
1pCMgUubbT55bEi2_xw0gQ,6,6,2015-08-11 02:46:04+00:00,2016-03-25 01:26:34+00:00
1r-qp5xs_YDnWd9uASN2Zw,5,5,2016-06-17 20:14:33+00:00,2020-09-14 19:40:23+00:00
1s00HiDgj8kTyF4BWUAhRg,10,9,2011-12-12 06:08:08+00:00,2014-05-18 22:38:55+00:00
1toLeDRKxW72eybEI_Lz2Q,13,9,2013-07-27 21:30:16+00:00,2020-03-07 21:35:52+00:00
2-iZ3lifB5gGWcpP6EgCCw,7,7,2013-02-24 23:35:40+00:00,2018-01-28 01:11:49+00:00
2DbgNul5tT2QSIZnS0V_RQ,5,4,2015-05-25 18:14:25+00:00,2020-11-10 17:35:12+00:00
2E2NzYDjIk7dL3TcOl1NxA,6,6,2020-07-24 14:59:03+00:00,2021-10-27 21:47:14+00:00
2FY3ETpGCbFPOOHmCGSXig,14,13,2021-02-15 00:21:49+00:00,2021-12-05 23:27:09+00:00
2Hdot8bpjmvtBLLZWXOPMQ,11,8,2021-06-28 00:16:27+00:00,2022-01-02 06:38:52+00:00
2Ij6ZjcsarLIOWNfgmVKcw,12,11,2013-03-16 19:57:32+00:00,2015-06-01 14:57:27+00:00
2JfNOO7Cv5eTVOTeIYKkaQ,9,9,2012-11-04 22:10:55+00:00,2021-12-09 16:32:53+00:00
2LINyz4Yl7aFlkInyL0KvA,8,8,2013-03-08 01:36:16+00:00,2014-09-06 00:50:50+00:00
2MZ7wSCTQtxEAYCvVueTag,12,12,2013-02-10 00:07:51+00:00,2014-04-21 18:17:56+00:00
2YhDjr0PcilkN_dcp16R6Q,5,5,2014-05-15 14:24:28+00:00,2021-09-26 00:04:51+00:00
2a-J1TbyFZKcAJ1Ap5MUrw,6,4,2015-08-11 17:55:32+00:00,2015-08-20 20:25:49+00:00
2a9uyq3zsX5RIxG_jtpM4Q,149,144,2013-02-26 22:19:08+00:00,2018-12-07 17:17:05+00:00
2aqjbuRVv5iyvJP8dUCWTw,5,5,2009-07-22 03:11:22+00:00,2011-09-02 21:03:36+00:00
2db7UH7qOD35M__0wZKt4w,13,12,2016-07-28 19:53:02+00:00,2019-04-02 14:36:12+00:00
2i89rpEFc6_dqhdWmXtMaQ,15,15,2015-11-06 23:08:53+00:00,2019-08-01 02:48:18+00:00
2lEyb6TyMTaB8IFV62sCAA,6,5,2015-06-23 18:15:24+00:00,2017-09-06 15:06:18+00:00
2nnCLoNSBITdQjXaBdLIdA,10,9,2017-04-21 04:24:22+00:00,2022-01-08 02:00:53+00:00
2pIVRpHric00N2HCHmKV9w,5,5,2015-06-21 23:58:10+00:00,2018-04-08 21:52:23+00:00
2tIN9jTDxEoF-gSRSnUkPw,7,7,2018-11-27 01:39:25+00:00,2019-01-14 23:21:40+00:00
2wvdpjLgbY4RvOoDrJ1tEA,7,7,2016-06-20 03:34:28+00:00,2018-01-14 17:55:35+00:00
30F5TB8825KDsfVrnQTKsw,10,7,2014-11-18 01:31:10+00:00,2021-05-19 02:13:10+00:00
