user_id,n_visits,n_unique_businesses_x,n_unique_points,n_hubs,noise_ratio,clustered_share,hub1_size,hub2_size,hub1_share,hub2_share,hub_dist_km,travel_range_km,max_dist_from_primary_hub_km,mobility_label,n_events,n_unique_businesses_y,start_time,end_time
-0MIp6WKJ8QvGnYZQ5ETyg,19,19,19,4,0.21052631578947367,0.7894736842105263,6,3,0.4,0.2,14.73414412155808,1.1269443585793262,2.054085312536316,explorer,19,19,2018-06-11 22:57:47+00:00,2021-11-27 23:13:27+00:00
-1VbC_BSr9ai4drsuCCJxA,7,4,4,1,0.42857142857142855,0.5714285714285714,4,0,1.0,0.0,,0.5981485991285074,0.5981490079401454,sparse,7,4,2012-03-01 20:19:13+00:00,2012-03-19 22:20:11+00:00
-6DoXmdXEy_P5N-QZzntgA,12,11,11,1,0.5,0.5,6,0,1.0,0.0,,0.4348292286657076,1.91361654089006,explorer,12,11,2012-07-24 18:18:37+00:00,2015-10-06 18:33:48+00:00
-6cPEM5jtb6A2M6mggn47g,10,9,9,1,0.0,1.0,10,0,1.0,0.0,,0.6710078999347693,1.292750504863943,one_area,10,9,2021-07-17 03:09:09+00:00,2021-11-15 15:56:17+00:00
-8lbUNlXVSoXqaRRiHiSNg,9,9,9,2,0.1111111111111111,0.8888888888888888,5,3,0.625,0.375,14.676428710592068,0.30276548925461605,0.570799771940417,two_area,9,9,2009-05-21 19:38:29+00:00,2017-01-22 00:11:20+00:00
-DLVCiMg_uM0ihm8PcHWcw,7,7,7,1,0.0,1.0,7,0,1.0,0.0,,0.7099032074227588,3.002028888175369,sparse,7,7,2021-05-19 02:38:38+00:00,2021-05-21 11:14:57+00:00
-EYAh6B8abzsq8ld_XGoRw,12,12,12,1,0.5833333333333334,0.41666666666666663,5,0,1.0,0.0,,2.7516588138334206,4.230362126442868,sparse,12,12,2015-08-08 23:54:09+00:00,2019-03-01 21:21:33+00:00
-Hm4V0KMXftGms0O-uHZiw,5,5,5,1,0.4,0.6,3,0,1.0,0.0,,1.4646796148671495,1.7795743498164038,sparse,5,5,2016-05-28 21:38:16+00:00,2017-09-02 00:15:47+00:00
-MiV-B9p4rO652My4HjYlA,5,5,5,1,0.4,0.6,3,0,1.0,0.0,,0.40311587175516955,0.75363327595083,sparse,5,5,2017-06-04 03:32:01+00:00,2018-04-29 18:35:51+00:00
-PR-NbnExaqupp8rJRHB8g,5,5,5,0,1.0,0.0,0,0,0.0,0.0,,,,sparse,5,5,2017-12-08 18:03:21+00:00,2017-12-08 18:18:29+00:00
-Q-PQD7nZ1dhADQTYwlsOA,14,13,13,2,0.35714285714285715,0.6428571428571428,6,3,0.6666666666666666,0.3333333333333333,22.48400293140664,2.2908305543848426,3.4751613607314256,explorer,14,13,2017-12-08 03:33:53+00:00,2021-12-29 16:16:23+00:00
-QmEKJ_CzZnT9biZHddfZQ,106,90,90,1,0.009433962264150943,0.9905660377358491,105,0,1.0,0.0,,1.792940166673011,5.7828815949557235,one_area,106,90,2015-01-09 08:21:12+00:00,2019-03-23 00:09:24+00:00
-TQmf01XtBe5jOkHb84WPA,10,10,10,1,0.3,0.7,7,0,1.0,0.0,,2.0797682765199705,3.6052759699854655,explorer,10,10,2021-04-11 02:03:17+00:00,2021-07-26 18:22:18+00:00
